          #r                      g1                      g12
  0.5289440000000000E+00  0.2315334103351822E+00  0.9212386635185095E-01
  0.5329360000000000E+00  0.2266340178553173E+00  0.9115140230014547E-01
  0.5369280000000000E+00  0.2218412418276496E+00  0.9018502643811299E-01
  0.5409200000000000E+00  0.2171526779458208E+00  0.8922480683334062E-01
  0.5449120000000000E+00  0.2125659789998723E+00  0.8827080811555839E-01
  0.5489039999999999E+00  0.2080788534572241E+00  0.8732309155423372E-01
  0.5528960000000001E+00  0.2036890640794665E+00  0.8638171513517919E-01
  0.5568880000000000E+00  0.1993944265723719E+00  0.8544673363625233E-01
  0.5608800000000000E+00  0.1951928082623594E+00  0.8451819870060806E-01
  0.5648720000000000E+00  0.1910821268083976E+00  0.8359615891045309E-01
  0.5688640000000000E+00  0.1870603489426088E+00  0.8268065985829114E-01
  0.5728560000000000E+00  0.1831254892415538E+00  0.8177174421732818E-01
  0.5768480000000000E+00  0.1792756089274062E+00  0.8086945181036913E-01
  0.5808400000000000E+00  0.1755088146959280E+00  0.7997381967856161E-01
  0.5848320000000000E+00  0.1718232575779108E+00  0.7908488214802893E-01
  0.5888240000000000E+00  0.1682171318261254E+00  0.7820267089500395E-01
  0.5928160000000000E+00  0.1646886738277686E+00  0.7732721501059873E-01
  0.5968080000000000E+00  0.1612361610544587E+00  0.7645854106445071E-01
  0.6008000000000000E+00  0.1578579110257360E+00  0.7559667316672858E-01
  0.6047920000000000E+00  0.1545522803082656E+00  0.7474163302942571E-01
  0.6087840000000000E+00  0.1513176635404208E+00  0.7389344002578173E-01
  0.6127760000000000E+00  0.1481524924808593E+00  0.7305211125001716E-01
  0.6167680000000000E+00  0.1450552350795036E+00  0.7221766157489728E-01
  0.6207600000000000E+00  0.1420243945809023E+00  0.7139010370881020E-01
  0.6247520000000000E+00  0.1390585086451453E+00  0.7056944825130292E-01
  0.6287440000000000E+00  0.1361561484915157E+00  0.6975570374816797E-01
  0.6327360000000000E+00  0.1333159180744244E+00  0.6894887674587007E-01
  0.6367280000000000E+00  0.1305364532691045E+00  0.6814897184363329E-01
  0.6407200000000000E+00  0.1278164210916740E+00  0.6735599174563471E-01
  0.6447120000000000E+00  0.1251545189295757E+00  0.6656993731300975E-01
  0.6487039999999999E+00  0.1225494738027055E+00  0.6579080761321432E-01
  0.6526960000000001E+00  0.1200000416365855E+00  0.6501859996935029E-01
  0.6566880000000000E+00  0.1175050065624313E+00  0.6425331000926555E-01
  0.6606800000000000E+00  0.1150631802312810E+00  0.6349493171264964E-01
  0.6646720000000000E+00  0.1126734011493908E+00  0.6274345745758551E-01
  0.6686640000000000E+00  0.1103345340310226E+00  0.6199887806749486E-01
  0.6726560000000000E+00  0.1080454691696051E+00  0.6126118285540046E-01
  0.6766480000000000E+00  0.1058051218245992E+00  0.6053035966822318E-01
  0.6806400000000000E+00  0.1036124316275426E+00  0.5980639493132826E-01
  0.6846320000000000E+00  0.1014663620017711E+00  0.5908927368983186E-01
  0.6886240000000000E+00  0.9936589959645185E-01  0.5837897965224018E-01
  0.6926160000000000E+00  0.9731005374348663E-01  0.5767549523037433E-01
  0.6966080000000000E+00  0.9529785591753696E-01  0.5697880158064658E-01
  0.7006000000000000E+00  0.9332835921847919E-01  0.5628887864363049E-01
